Languages,Location,Speakers 2007,Speakers 2008,Speakers 2009,Speakers 2010,Speakers 2011,Speakers 2012,Speakers 2013,Speakers 2014,Speakers 2015,Articles 2007,Articles 2008,Articles 2009,Articles 2010,Articles 2011,Articles 2012,Articles 2013,Articles 2014,Articles 2015,Users 2007,Users 2008,Users 2009,Users 2010,Users 2011,Users 2012,Users 2013,Users 2014,Users 2015
Kirghiz (Kyrgyz),Caucasus Central Asia & Middle East,2941930,2941930,2941930,2941930,2941930,2941930,2941930,2941930,2941930,442,721,894,1313,4449,21830,25060,27467,53040,240,895,1858,2863,4250,6630,8480,10183,12358
Komi,Eastern Europe,220000,220000,220000,220000,220000,220000,220000,220000,220000,57,1018,1502,1600,2777,3589,4081,4301,4506,125,789,1836,2790,3692,4745,5659,6387,7172
Komi-Permyak,Eastern Europe,0,0,0,63000,63000,63000,63000,63000,63000,697,697,697,697,2847,3427,3429,3436,3421,593,593,593,593,1466,2340,3096,3643,4251
Kongo,Africa,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,281,512,570,594,633,726,861,884,1116,132,609,1226,1885,2474,3139,3769,4314,5084
Korean,East Asia,67019690,67019690,67019690,67019690,67019690,67019690,67019690,77166230,77166230,48986,84043,123247,151541,184936,226442,259899,299783,337094,25065,55340,96693,136644,172251,211962,251507,314005,382108
Kurdish,Caucasus Central Asia & Middle East,15825505,15825505,15825505,15825505,15825505,15825505,15825505,29960890,29960890,10443,12053,12789,15437,17124,19338,20183,20879,21558,1025,2966,6572,9681,12638,16062,19217,22305,26439
Ladino (Judaeo Spanish),Caucasus Central Asia & Middle East,122130,122130,122130,122130,122130,122130,122130,122130,122130,1571,1924,2236,2365,2706,3183,3265,3339,3361,253,1175,2782,4297,5627,7014,8316,9233,10466
Lak,Eastern Europe,150000,150000,150000,150000,150000,150000,150000,150000,150000,32,37,39,333,1191,1191,1201,1204,1208,108,506,1202,1848,2554,3288,3900,4335,4790
Lao,Southeast Asia,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,231,431,527,575,807,862,1228,1473,1423,201,859,1742,2619,3522,4561,5584,6378,7361
Latgalian,Eastern Europe,0,0,0,0,200000,200000,200000,200000,200000,560,560,560,560,560,743,763,770,778,1012,1012,1012,1012,1012,1670,2254,2690,3258
Latin,Southern Europe,3000,3000,3000,3000,3000,3000,3000,3000,3000,17443,25277,34128,48202,62651,84277,100611,112219,124351,2654,9010,20718,32180,41906,52921,63012,70802,80854
Latvian,Northern Europe,1543844,1543844,1543844,1543844,1543844,1543844,1543844,1552260,1552260,12322,19054,24809,31683,38794,45780,51828,57851,64685,3902,8653,15393,22335,29104,36462,42949,48770,56129
Lezgian,Eastern Europe,0,0,0,0,0,665000,665000,665000,665000,1276,1276,1276,1276,1276,1276,1914,2113,2702,1795,1795,1795,1795,1795,1795,2823,3491,4340
Limburgian,Western Europe,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,3625,4416,5505,6523,6857,7120,7370,8408,10483,476,1675,3919,6005,7787,9662,11221,12373,13934
Lingala,Africa,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,1010,1086,1192,1335,1796,1996,2046,2096,2081,170,816,1595,2361,3133,3950,4682,5281,6049
Lithuanian,Northern Europe,3125281,3125281,3125281,3125281,3125281,3125281,3125281,3001860,3001860,58540,78894,99308,124099,143715,155612,162311,169394,175233,9016,17718,30566,43102,53760,65312,75312,84445,95212
